n_over_m,sparsity,frequency,condition,seed,feature,importance,imp_rank,w_norm,D_i,I_i,late_top1evr,late_pr
8,0.8,0.2,input_at,1,58,0.017752105370163918,58,0.31836339831352234,0.015780983492732048,0.6828539371490479,0.22837741672992706,7.296201705932617
8,0.8,0.2,input_at,1,59,0.01597689650952816,59,0.6263039708137512,0.061088770627975464,0.6809527277946472,0.23317642509937286,7.203420162200928
8,0.8,0.2,input_at,1,61,0.012941285036504269,61,0.3664397597312927,0.021079765632748604,0.6742830872535706,0.21385523676872253,7.439442157745361
8,0.8,0.2,input_at,1,65,0.008490776643157005,65,0.3222797214984894,0.016112113371491432,0.683623731136322,0.21940037608146667,7.326489448547363
8,0.8,0.2,input_at,1,68,0.00618977565318346,68,0.7711610198020935,0.09267739206552505,0.6812521815299988,0.22754700481891632,7.231821060180664
8,0.8,0.2,input_at,1,69,0.005570797715336084,69,0.33024322986602783,0.016912352293729782,0.6840633749961853,0.22148817777633667,7.344542503356934
8,0.8,0.2,input_at,1,73,0.003654999891296029,73,0.7328685522079468,0.08436308056116104,0.6755342483520508,0.22777727246284485,7.233343124389648
8,0.8,0.2,input_at,1,74,0.003289500018581748,74,0.5096442699432373,0.04093336686491966,0.6733850836753845,0.2260330617427826,7.279544353485107
8,0.8,0.2,input_at,1,76,0.0026644947938621044,76,0.3179982602596283,0.015987640246748924,0.6707889437675476,0.2305459827184677,7.273571968078613
8,0.8,0.2,input_at,2,0,8.001750946044922,0,2.4658467769622803,0.8145812153816223,0.01780666783452034,0.7666136026382446,1.665382742881775
8,0.8,0.2,input_at,2,1,7.201575756072998,1,1.2574373483657837,0.4702981412410736,0.057791680097579956,0.5312072038650513,2.8568999767303467
8,0.8,0.2,input_at,2,2,6.481417655944824,2,1.4733814001083374,0.49172720313072205,0.06199431046843529,0.5281932950019836,2.9622392654418945
8,0.8,0.2,input_at,2,3,5.83327579498291,3,1.4210214614868164,0.333804726600647,0.07443965971469879,0.6672937870025635,2.1052632331848145
8,0.8,0.2,input_at,2,4,5.249948024749756,4,1.9068176746368408,0.6044221520423889,0.04436822235584259,0.4893234372138977,3.3403356075286865
8,0.8,0.2,input_at,2,5,4.7249531745910645,5,1.3723379373550415,0.39652395248413086,0.0897679254412651,0.38466009497642517,3.668062925338745
8,0.8,0.2,input_at,2,6,4.252457618713379,6,0.853306770324707,0.12115465104579926,0.18295377492904663,0.41177991032600403,3.964294910430908
8,0.8,0.2,input_at,2,7,3.82721209526062,7,0.33164694905281067,0.010758999735116959,0.3417641818523407,0.45944419503211975,3.634752035140991
8,0.8,0.2,input_at,2,8,3.444490671157837,8,0.41020673513412476,0.024422429502010345,0.21716538071632385,0.44513437151908875,3.7384560108184814
8,0.8,0.2,input_at,2,9,3.100041389465332,9,0.41187942028045654,0.01613103598356247,0.3300362527370453,0.4308631122112274,3.8642282485961914
8,0.8,0.2,input_at,2,10,2.7900373935699463,10,0.6285092830657959,0.044479090720415115,0.28171515464782715,0.4590122103691101,3.613863468170166
8,0.8,0.2,input_at,2,11,2.511033535003662,11,0.37448224425315857,0.012985710054636002,0.35973477363586426,0.43506890535354614,3.860093832015991
8,0.8,0.2,input_at,2,13,2.0339369773864746,13,0.33619362115859985,0.009426842443645,0.36691543459892273,0.4544559419155121,3.6780598163604736
8,0.8,0.2,input_at,2,15,1.6474888324737549,15,0.40748509764671326,0.013681197538971901,0.3585880994796753,0.4538559317588806,3.658008098602295
8,0.8,0.2,input_at,2,18,1.2010194063186646,18,0.32827338576316833,0.020556604489684105,0.2072509378194809,0.4550413489341736,3.6567652225494385
8,0.8,0.2,input_at,2,21,0.8755429983139038,21,0.9020606875419617,0.06530806422233582,0.36728888750076294,0.4599718153476715,3.6044085025787354
8,0.8,0.2,input_at,2,22,0.7879887223243713,22,0.4511350691318512,0.019043801352381706,0.29634329676628113,0.44645386934280396,3.710974931716919
8,0.8,0.2,input_at,2,23,0.7091898322105408,23,0.3776490390300751,0.02421126514673233,0.21355345845222473,0.47343406081199646,3.4960484504699707
8,0.8,0.2,input_at,2,24,0.6382707953453064,24,0.3496023714542389,0.01251181960105896,0.2823953628540039,0.4529711604118347,3.685194492340088
8,0.8,0.2,input_at,2,26,0.5169993042945862,26,0.5866201519966125,0.044165659695863724,0.2692045271396637,0.44815564155578613,3.719311475753784
8,0.8,0.2,input_at,2,27,0.4652993679046631,27,0.5074985027313232,0.04290932044386864,0.23516196012496948,0.4419311285018921,3.7602076530456543
8,0.8,0.2,input_at,2,28,0.4187694489955902,28,0.775338888168335,0.06272759288549423,0.3323976993560791,0.4438158869743347,3.7524919509887695
