n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,input_at,0,8,1.138601541519165,0.06383875757455826,0.4873848855495453,1.0179189443588257,0.07469265908002853,15
2,0.8,input_at,0,9,1.5124096870422363,0.06338243931531906,0.4834919571876526,1.0194612741470337,0.07176170498132706,15
2,0.8,input_at,0,10,1.4877684116363525,0.058307867497205734,0.4942137897014618,1.0202556848526,0.07227575033903122,15
2,0.8,input_at,0,11,1.7078485488891602,0.11334250867366791,0.4772529900074005,1.0116798877716064,0.07134316861629486,15
2,0.8,input_at,0,12,1.5115835666656494,0.06335761398077011,0.48303839564323425,1.0058577060699463,0.07273627072572708,15
2,0.8,input_at,0,13,1.4874252080917358,0.05830841884016991,0.49399682879447937,1.0134458541870117,0.07277331501245499,15
2,0.8,input_at,0,15,1.7042269706726074,0.11333362758159637,0.47522076964378357,0.9991746544837952,0.072239451110363,15
2,0.8,input_at,1,0,1.1167292594909668,0.00963186752051115,0.9067840576171875,1.1097666025161743,5.5306598369497806e-05,17
2,0.8,input_at,1,1,1.0972812175750732,0.011706583201885223,0.8844202160835266,1.1342467069625854,-2.0576128008542582e-05,17
2,0.8,input_at,1,2,1.1573566198349,0.07336599379777908,0.47320035099983215,1.0530588626861572,0.06277789920568466,17
2,0.8,input_at,1,3,1.157495141029358,0.07340504974126816,0.47328856587409973,1.0100144147872925,0.06546195596456528,17
2,0.8,input_at,1,4,1.2947043180465698,0.07460176199674606,0.6039144396781921,1.0027804374694824,0.04737323150038719,17
2,0.8,input_at,1,5,1.0877174139022827,0.033301692456007004,0.779254138469696,1.2010400295257568,0.00012372816854622215,17
2,0.8,input_at,1,6,1.4127544164657593,0.06692034006118774,0.4882661998271942,1.0516563653945923,0.06284199655056,17
2,0.8,input_at,1,7,1.4729198217391968,0.053719568997621536,0.4998248815536499,1.03499174118042,0.06216484308242798,17
2,0.8,input_at,1,8,1.4120054244995117,0.06694239377975464,0.4877264201641083,1.0093762874603271,0.06547736376523972,17
2,0.8,input_at,1,9,1.530968189239502,0.05542512983083725,0.4958122968673706,1.0463204383850098,0.06328652799129486,17
2,0.8,input_at,1,10,1.5573251247406006,0.053957149386405945,0.497065931558609,1.026504635810852,0.06394506990909576,17
2,0.8,input_at,1,11,1.5288105010986328,0.055379610508680344,0.4944269359111786,1.015255093574524,0.0652332603931427,17
2,0.8,input_at,1,12,1.5546085834503174,0.053936850279569626,0.49539461731910706,1.0278068780899048,0.06390359252691269,17
2,0.8,input_at,1,13,1.4677504301071167,0.05368565768003464,0.4963470995426178,1.0007063150405884,0.06435033679008484,17
2,0.8,input_at,1,14,0.9229161739349365,0.2404048591852188,0.401762455701828,0.8623979091644287,0.02757975086569786,17
2,0.8,input_at,1,15,0.6064401865005493,0.24030831456184387,0.17365843057632446,0.4066678285598755,0.0561700314283371,17
2,0.8,input_at,1,19,0.963631808757782,0.07773902267217636,0.3325096666812897,0.7581462264060974,0.062015414237976074,17
2,0.8,input_at,2,0,0.9725633263587952,0.03616106137633324,0.8277967572212219,1.2015920877456665,7.196145452326164e-05,15
2,0.8,input_at,2,1,0.9300905466079712,0.014311638660728931,0.8966814279556274,1.1228529214859009,4.962142338627018e-05,15
2,0.8,input_at,2,2,1.0198829174041748,0.02404511347413063,0.8801156878471375,1.1408238410949707,2.194745684391819e-05,15
2,0.8,input_at,2,3,1.2718333005905151,0.05353647843003273,0.5133602023124695,1.0128378868103027,0.07288933545351028,15
2,0.8,input_at,2,4,1.249617338180542,0.05377669632434845,0.49730387330055237,1.0346819162368774,0.07232987135648727,15
2,0.8,input_at,2,5,1.2492790222167969,0.053769633173942566,0.49704205989837646,1.0133270025253296,0.07386141270399094,15
2,0.8,input_at,2,6,1.3616423606872559,0.055700648576021194,0.49386516213417053,1.013183832168579,0.07148124277591705,15
2,0.8,input_at,2,7,1.2120683193206787,0.05194482579827309,0.8371126055717468,1.186953067779541,4.40533876826521e-05,15
2,0.8,input_at,2,8,1.3960398435592651,0.053793273866176605,0.4972775876522064,1.0350325107574463,0.07378489524126053,15
2,0.8,input_at,2,9,1.3291144371032715,0.054545313119888306,0.4952987730503082,1.0400243997573853,0.07254476845264435,15
2,0.8,input_at,2,10,1.3287062644958496,0.05456308275461197,0.4949479401111603,1.0168646574020386,0.0741778090596199,15
2,0.8,input_at,2,11,1.3595497608184814,0.05566323548555374,0.49241703748703003,1.0030741691589355,0.07222866266965866,15
