n,m,n_over_m,sparsity,condition,seed,feature,w_norm,represented,D_groundtruth,top1_evr,pr,r_set1,r_set2,sat_set1,sat_set2
40,10,4,0.99,lat,0,32,0.02721952460706234,0,6.438905256800354e-05,0.30870527029037476,4.6886982917785645,5.465215682983398,5.465215682983398,1.0,1.0
40,10,4,0.99,lat,0,33,1.597487211227417,1,0.19007223844528198,0.6546391248703003,2.20474910736084,0.21256618201732635,0.8702266216278076,0.0,0.0
40,10,4,0.99,lat,0,34,0.7077250480651855,1,0.03665483742952347,0.37093523144721985,4.4318413734436035,0.7150996327400208,5.013186931610107,0.0,0.0
40,10,4,0.99,lat,0,35,0.08261234313249588,0,0.0005549913621507585,0.2935325503349304,5.451807498931885,4.044027805328369,5.205169200897217,0.0,1.0
40,10,4,0.99,lat,0,36,0.049074724316596985,0,0.00020702063920907676,0.2672472596168518,5.9032111167907715,4.973214626312256,5.790834903717041,0.0,1.0
40,10,4,0.99,lat,0,37,0.506804347038269,1,0.021493474021553993,0.23720403015613556,6.527526378631592,0.5496888756752014,2.1372759342193604,0.0,0.0
40,10,4,0.99,lat,0,38,0.017105821520090103,0,1.8993370758835226e-05,0.3710630238056183,5.077779293060303,8.771064758300781,8.771064758300781,1.0,1.0
40,10,4,0.99,lat,0,39,0.10224004834890366,0,0.0009337506489828229,0.24374718964099884,6.543003082275391,2.1378159523010254,6.072544097900391,0.0,1.0
40,10,4,0.99,lat,1,0,2.5543861389160156,1,0.445788711309433,0.826067328453064,1.4505300521850586,0.20541119575500488,0.7446035742759705,0.0,0.0
40,10,4,0.99,lat,1,1,2.934626340866089,1,0.48560959100723267,0.8384059071540833,1.4140303134918213,0.2466888129711151,0.816824197769165,0.0,0.0
40,10,4,0.99,lat,1,2,2.860037088394165,1,0.44777125120162964,0.8252473473548889,1.4563708305358887,0.23785153031349182,0.815568745136261,0.0,0.0
40,10,4,0.99,lat,1,3,1.9462417364120483,1,0.28377434611320496,0.7136547565460205,1.9164749383926392,0.16357658803462982,0.6208922863006592,0.0,0.0
40,10,4,0.99,lat,1,4,2.7300052642822266,1,0.4119904041290283,0.8744590282440186,1.302964448928833,0.2643311619758606,0.8108921051025391,0.0,0.0
40,10,4,0.99,lat,1,5,2.2340810298919678,1,0.36732906103134155,0.8273293972015381,1.4494991302490234,0.21206265687942505,0.7251313924789429,0.0,0.0
40,10,4,0.99,lat,1,6,2.433483600616455,1,0.4049612283706665,0.811362624168396,1.5014705657958984,0.24732328951358795,0.7636670470237732,0.0,0.0
40,10,4,0.99,lat,1,7,1.8882964849472046,1,0.28521785140037537,0.7025070786476135,1.9687317609786987,0.20031799376010895,0.6179683804512024,0.0,0.0
40,10,4,0.99,lat,1,8,2.3413138389587402,1,0.34142962098121643,0.880683958530426,1.2849138975143433,0.23337393999099731,0.7065258026123047,0.0,0.0
40,10,4,0.99,lat,1,9,2.0958364009857178,1,0.31652453541755676,0.7541866898536682,1.7244272232055664,0.19593773782253265,0.6764101982116699,0.0,0.0
40,10,4,0.99,lat,1,10,2.148297071456909,1,0.2957761883735657,0.7774350643157959,1.6348412036895752,0.17034190893173218,0.6199755072593689,0.0,0.0
40,10,4,0.99,lat,1,11,2.121459484100342,1,0.28981414437294006,0.8176197409629822,1.4833173751831055,0.17911741137504578,0.6521353721618652,0.0,0.0
40,10,4,0.99,lat,1,12,2.05385422706604,1,0.3172881603240967,0.7496527433395386,1.7417746782302856,0.21874165534973145,0.6691282987594604,0.0,0.0
40,10,4,0.99,lat,1,13,1.8754650354385376,1,0.26151975989341736,0.7418091297149658,1.7752666473388672,0.18759702146053314,0.6754810810089111,0.0,0.0
40,10,4,0.99,lat,1,14,1.9848816394805908,1,0.24421627819538116,0.8248370289802551,1.4561558961868286,0.21283836662769318,0.6729257106781006,0.0,0.0
40,10,4,0.99,lat,1,15,1.9856737852096558,1,0.27704134583473206,0.8411906361579895,1.4027377367019653,0.18624447286128998,0.6888294816017151,0.0,0.0
40,10,4,0.99,lat,1,16,2.0601634979248047,1,0.34761497378349304,0.7421432733535767,1.7803930044174194,0.19172891974449158,0.6915985941886902,0.0,0.0
40,10,4,0.99,lat,1,17,1.9732201099395752,1,0.22511999309062958,0.735201358795166,1.7962186336517334,0.19988296926021576,0.6034390926361084,0.0,0.0
40,10,4,0.99,lat,1,18,1.9283552169799805,1,0.23917309939861298,0.6492207050323486,2.2591683864593506,0.19904452562332153,0.6754666566848755,0.0,0.0
40,10,4,0.99,lat,1,19,1.7074558734893799,1,0.23369935154914856,0.7517154812812805,1.7333203554153442,0.16964155435562134,0.5825048089027405,0.0,0.0
40,10,4,0.99,lat,1,20,1.8633776903152466,1,0.25308194756507874,0.68524169921875,2.043484926223755,0.19742976129055023,0.6755090355873108,0.0,0.0
40,10,4,0.99,lat,1,21,1.8670566082000732,1,0.2709398865699768,0.6428651809692383,2.2935776710510254,0.20115680992603302,0.743364155292511,0.0,0.0
40,10,4,0.99,lat,1,22,1.9949036836624146,1,0.22904646396636963,0.8160675764083862,1.4854000806808472,0.1435982882976532,0.45489513874053955,0.0,0.0
40,10,4,0.99,lat,1,23,1.850389838218689,1,0.24346773326396942,0.7746610045433044,1.6408772468566895,0.18602636456489563,0.675216555595398,0.0,0.0
40,10,4,0.99,lat,1,24,1.8426285982131958,1,0.2301524430513382,0.7318657636642456,1.8156858682632446,0.17963656783103943,0.6342182755470276,0.0,0.0
40,10,4,0.99,lat,1,25,1.5336389541625977,1,0.19547304511070251,0.6675918698310852,2.159825325012207,0.1608729213476181,0.5752182006835938,0.0,0.0
40,10,4,0.99,lat,1,26,1.6826752424240112,1,0.20153728127479553,0.7411172389984131,1.7774220705032349,0.32472145557403564,0.8508211374282837,0.0,0.0
40,10,4,0.99,lat,1,27,1.8844488859176636,1,0.2097906768321991,0.6973546147346497,1.9957897663116455,0.21574972569942474,0.764060914516449,0.0,0.0
40,10,4,0.99,lat,1,28,1.4742125272750854,1,0.1360292285680771,0.774290919303894,1.637561321258545,0.1941811740398407,0.7583879232406616,0.0,0.0
40,10,4,0.99,lat,1,29,1.8159375190734863,1,0.2590717673301697,0.6738959550857544,2.123701572418213,0.19868578016757965,0.7185397148132324,0.0,0.0
40,10,4,0.99,lat,1,30,1.5357643365859985,1,0.15667270123958588,0.6553491353988647,2.2209300994873047,0.2386694997549057,0.7195456624031067,0.0,0.0
40,10,4,0.99,lat,1,31,1.3679916858673096,1,0.12658652663230896,0.7037278413772583,1.9518109560012817,0.20394092798233032,0.8364049196243286,0.0,0.0
40,10,4,0.99,lat,1,32,1.356990098953247,1,0.10480896383523941,0.6114099621772766,2.4968509674072266,0.3759055435657501,0.8557413816452026,0.0,0.0
40,10,4,0.99,lat,1,33,0.7581599354743958,1,0.04087941721081734,0.3080347180366516,6.016881465911865,0.4939287602901459,10.212160110473633,0.0,0.125
40,10,4,0.99,lat,1,34,0.48688650131225586,1,0.016517123207449913,0.35308733582496643,4.483155727386475,2.3663289546966553,8.73676586151123,0.0,1.0
40,10,4,0.99,lat,1,35,0.9897485971450806,1,0.04928787797689438,0.4702104330062866,3.7070205211639404,0.36761733889579773,16.207866668701172,0.0,1.0
40,10,4,0.99,lat,1,36,0.4962135851383209,1,0.01619182527065277,0.34005093574523926,5.359104156494141,0.9638710021972656,8.67563533782959,0.0,1.0
