n,m,n_over_m,sparsity,condition,seed,recon_fvu,interference,sae_fvu_clean,sae_fvu_adv,sae_l0_clean,sae_l0_adv,sae_mono,sae_k,sae_dict,mean_D
80,10,8,0.99,baseline,4,0.06758388655127699,0.14574332535266876,0.051926467567682266,0.06672798842191696,1.0,1.0,0.9438303112983704,1,320,0.1158568412065506
80,10,8,0.99,input_at,0,0.2835827460776969,0.3384827673435211,0.03280933201313019,0.04659406468272209,1.0,1.0,0.9644902944564819,1,320,0.10181556642055511
80,10,8,0.99,input_at,1,0.1350231433594324,0.4409826099872589,0.03303053602576256,0.04184061661362648,1.0,1.0,0.9818031191825867,1,320,0.11421845853328705
80,10,8,0.99,input_at,2,0.1230591102710825,0.46984872221946716,0.04613567143678665,0.05518757551908493,1.0,1.0,0.9865583181381226,1,320,0.10157276690006256
80,10,8,0.99,input_at,3,0.1371421319628157,0.44496649503707886,0.032941512763500214,0.04133739322423935,1.0,1.0,0.9777837991714478,1,320,0.10845430195331573
80,10,8,0.99,input_at,4,0.16264032865854505,0.38392287492752075,0.03960009291768074,0.049447059631347656,1.0,1.0,0.9696992635726929,1,320,0.11405517905950546
80,10,8,0.99,lat,0,0.11662683348768756,0.24076293408870697,0.04470347613096237,0.05598609521985054,1.0,1.0,0.9649330973625183,1,320,0.11455144733190536
80,10,8,0.99,lat,1,0.10048541940151101,0.2706766426563263,0.048734404146671295,0.06361457705497742,1.0,1.0,0.9635777473449707,1,320,0.11929947137832642
80,10,8,0.99,lat,2,0.0982654994750066,0.2386508285999298,0.051392801105976105,0.05974104255437851,1.0,1.0,0.9699059724807739,1,320,0.11682204902172089
80,10,8,0.99,lat,3,0.07899555262494945,0.12111309170722961,0.04011974483728409,0.05042069032788277,1.0,1.0,0.9167536497116089,1,320,0.11953045427799225
80,10,8,0.99,lat,4,0.06961266498949002,0.18645253777503967,0.0451023243367672,0.055583756417036057,1.0,1.0,0.9486044049263,1,320,0.12024332582950592
